Component,SingularValue,ExplainedVariance,CumulativeVariance,AboveThreshold
74,0.00141630506161521,7.53602217132848e-08,0.999998304517958,0
75,0.001395625896533,7.31756505007085e-08,0.999998377693608,0
76,0.00138555448700032,7.21233301565875e-08,0.999998449816939,0
77,0.00134751518811986,6.82175143366245e-08,0.999998518034453,0
78,0.00134235318892732,6.76958663751744e-08,0.999998585730319,0
79,0.00133085040532019,6.65406494604582e-08,0.999998652270969,0
80,0.00131002738767659,6.44746960439049e-08,0.999998716745665,0
81,0.00128889221059752,6.24110876392052e-08,0.999998779156752,0
82,0.00126860280682753,6.04616352446575e-08,0.999998839618388,0
83,0.00125974971664855,5.96207028791929e-08,0.99999889923909,0
84,0.00123950559881192,5.77198958293691e-08,0.999998956958986,0
85,0.00120556056497829,5.46017572359725e-08,0.999999011560744,0
86,0.00120037949312505,5.41334477321577e-08,0.999999065694191,0
87,0.00114332244070464,4.91095560924083e-08,0.999999114803747,0
88,0.00113809115932456,4.86611818461169e-08,0.999999163464929,0
89,0.00109027715556323,4.46583196518081e-08,0.999999208123249,0
90,0.00108246061619657,4.40202760075775e-08,0.999999252143525,0
91,0.00107199938415675,4.31735365001805e-08,0.999999295317061,0
92,0.00104480315543031,4.10107303995162e-08,0.999999336327792,0
93,0.00103775449196,4.04592471052071e-08,0.999999376787039,0
94,0.00101546269311681,3.8739721849288e-08,0.999999415526761,0
95,0.00100061282375002,3.7614966721421e-08,0.999999453141727,0
96,0.000987648880779931,3.66466014350426e-08,0.999999489788329,0
97,0.000977676821022361,3.59103130337822e-08,0.999999525698642,0
98,0.00096664324947253,3.51043550014384e-08,0.999999560802997,0
99,0.000935936058569695,3.2909471817714e-08,0.999999593712469,0
100,0.000917250901197056,3.16085699160212e-08,0.999999625321038,0
101,0.000863464673862551,2.80102962253224e-08,0.999999653331335,0
102,0.000851716129984703,2.72532498164506e-08,0.999999680584584,0
103,0.000843167566020203,2.67089206309656e-08,0.999999707293505,0
104,0.000820321966668988,2.52811738762522e-08,0.999999732574679,0
105,0.000806161879036784,2.44159186158733e-08,0.999999756990598,0
106,0.000791446699772393,2.35327075655368e-08,0.999999780523305,0
107,0.00076872820744446,2.22010843790798e-08,0.999999802724389,0
